LttIndividualId,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Country,DateOfBirth,FirstName,LastName,LttUniqueIdentifierId,Postcode,TelephoneNumber,OtherTitle,TitleTypeId,UPRN
138521296834,40 James Street,South Ayrshire,Girvan,,United Kingdom,7/7/1988,Jamila,Darnell,538884568212,KA26,835158583932476,Sir,2,146567725177
988599119111,11 Chancellors Road,Hertfordshire,Stevenage,,United Kingdom,1/17/1989,Bobbye,Maud,192991479214,SG1 4AP,266552459992819,Lord,6,271542685769
218576526987,12 Holders Hill Drive,Greater London,London,,United Kingdom,8/29/1989,Flora,Willetta,959126583379,NW4 1NH,553637464897494,Mrs,5,272387537676
427589542638,4 New Road,Central Bedfordshire,Leighton Buzzard,,United Kingdom,5/29/1990,Dixie,Laquanda,285273357431,LU7 2LX,625553661934698,Mr,2,724949322854
179356765336,47 Oaktree Avenue,North Yorkshire,Catterick Garrison,,United Kingdom,4/14/1992,Jonelle,Babette,289222427823,DL9 3RE,355471687349897,Mr,1,219939789499
224297774811,7 Horsefair,North Yorkshire,York,,United Kingdom,1/31/1995,Ai,Adelle,331387311995,YO51 9AA,593923187826231,Mrs,3,295534656187
568479859912,1 Heron Close,Norfolk,Downham Market,,United Kingdom,11/27/1995,Hai,Xuan,787254921147,PE38 9QD,728936591534368,Miss,2,491362314535
955485429187,6 Richmond Place,Aberdeenshire,Ballater,,United Kingdom,5/13/1997,Alejandra,Carla,756332355744,AB35 5GS,784244323172274,Sir,1,784756252495
765721223197,47 Alamein Road,Kent,Swanscombe,,United Kingdom,6/12/2000,Elli,Lourdes,536551419268,DA10 0DZ,193114866613948,Lord,2,334675498755
271774241829,13 Trotwood Close,Kent,Chatham,,United Kingdom,7/14/2003,Ardelle,Erika,883599388154,ME5 9JU,512681353115985,Mrs,6,937656386129
966926211248,285 Car Bank Street,Greater Manchester,Manchester,,United Kingdom,7/2/2007,Armand,Kimi,449215186359,M46 0HT,493423633977493,Mr,2,449589499289
353532796449,14 Welton Close,Northumberland,Stocksfield,,United Kingdom,10/27/2008,Carolyne,Hector,119174968387,NE43 7EP,932788527329726,Mr,6,687791532318
651116669938,40 James Street,Kent,Dover,,United Kingdom,4/6/1956,Almeda,Renato,614716544943,CT16 2GR,171563965671271,Mrs,5,338148425771
532251122251,27 Roseberry Street,Greater London,London,,United Kingdom,7/26/1957,Houston,Elna,511977352258,SE16 3NA,792967383752162,Miss,4,358982831643
989133557616,97 B3091,Dorset,Shaftesbury,,United Kingdom,6/3/1960,Truman,Carla,623652669181,SP7 0AP,178635766587439,Sir,6,595581192472
996128793987,107 High Street,West Sussex,Crawley,,United Kingdom,11/29/1961,Leigha,Kandra,885699956795,RH10 1DD,585168725649122,Lord,4,548373475534
913725893364,53 Marine Parade,Norfolk,Great Yarmouth,,United Kingdom,3/1/1963,Laureen,Gita,616679718418,NR31 6EY,392651963417527,Mrs,5,119257466823
951157469694,18 Hawbank Road,South Lanarkshire,Glasgow,,United Kingdom,6/5/1963,Alena,Candi,416178583947,G74,669676139316881,Mr,2,566436196793
657177153517,15-21 B3181,Devon,Cullompton,,United Kingdom,9/14/1964,Bobbi,Zola,798691178398,EX15 1AH,169285123217118,Mr,6,824334651739
569483487498,40 James Street,Powys,Llandrindod Wells,,United Kingdom,6/14/1967,Noe,Shawna,456583348746,LD1,616319359738832,Mrs,6,925782827526
925187153671,3 Red Lion Street,Hampshire,Southampton,,United Kingdom,8/11/1967,Aline,Bev,836642568447,SO32 1ST,528185753339369,Miss,2,459247111495
945473993768,3 Charnley Drive,West Midlands,Sutton Coldfield,,United Kingdom,12/14/1970,Loise,Fredda,113766962669,B75 5QB,279711126853455,Sir,3,321297276752
519997237314,40 James Street,Renfrewshire,Bridge of Weir,,United Kingdom,6/15/1971,Shaunta,Millicent,385723783775,PA11 3DB,997192423716821,Lord,1,931111374542
458545145318,19 The Boulevard,West Midlands,Birmingham,,United Kingdom,6/29/1971,Florencio,Wesley,412932576536,B5,678452889937956,Mrs,1,731855151688
853794983113,28 Barton Court Avenue,Hampshire,New Milton,,United Kingdom,9/19/1973,Mariette,Deadra,981425163675,BH25 7HF,612282282966392,Mr,3,654224483323
113482485893,38-39 A3054,Isle of Wight,Ryde,,United Kingdom,9/19/1977,Delma,Johnny,179813472652,PO33,844669483774624,Mr,5,287655523167
337782372538,40 James Street,Worcestershire,Bromsgrove,,United Kingdom,10/8/1979,Piedad,Cornelia,527669512525,B61,858522459346734,Mrs,1,867529423315
322116155435,15 Hatton Garden,Greater London,London,,United Kingdom,5/16/1980,Clorinda,Elayne,171112431763,EC1N 8AT,249242191268969,Miss,6,926775983114
888376969649,36 Lancaster Road,Wiltshire,Melksham,,United Kingdom,2/10/1981,Karena,Christin,177353948449,SN12 6SS,165677682272196,Sir,3,793662391844
163917719596,56B Wolverton Road,Bournemouth,Bournemouth,,United Kingdom,12/15/1982,Laure,Mira,949761954561,BH7 6HU,376848917649188,Lord,6,152772981894
884979971612,10 Mulberry Close,Newport,Newport,,United Kingdom,6/29/1984,Denise,Clark,951936614451,NP10 9JS,717657613447695,Mrs,1,761343795377
899193138956,40 James Street,Hampshire,Basingstoke,,United Kingdom,6/25/1991,Shakira,Shawanda,881365487184,RG23 7LT,225441359625436,Mr,5,765854698112
135987586547,41 Victoria Road,Hertfordshire,Watford,,United Kingdom,11/9/1998,Sandee,Lauren,521563161273,WD24 5AY,883722129565736,Mr,2,246132458932
217331765414,59-61 Summer Lane,West Midlands,Birmingham,,United Kingdom,3/21/2002,Rico,Lyndia,759141829836,B19 3TH,735714577319418,Mrs,4,585714383488
454429947739,15 Glendevon Gardens,Edinburgh,Edinburgh,,United Kingdom,1/5/2005,Lyndon,Nyla,943728856331,EH12 5UR,474214148582163,Miss,4,921784767728
685675666717,146 Derby Road,Greater Manchester,Salford,,United Kingdom,8/14/2006,Earnest,Leia,572776164619,M5 5BB,768145782222135,Sir,6,676347143832
812933861939,4 Marine Terrace,East Lothian,Gullane,,United Kingdom,12/6/2006,Herman,Natasha,249227784467,EH31 2AY,861211752935465,Lord,4,244257325698
928842445276,31 New Cavendish Street,Greater London,London,,United Kingdom,5/30/1957,Jerry,Sibyl,285377758448,W1G 9TT,686737227784512,Mrs,4,199124891995
779553612376,148 Horsley Road,Tyne and Wear,Washington,,United Kingdom,5/7/1958,Latina,Jerilyn,411448166217,NE38 8HJ,969223784196896,Mr,5,261862443452
569729159986,30 Church Lane,North Yorkshire,Harrogate,,United Kingdom,4/4/1962,Loreen,Myong,326719813378,HG3 1NQ,128194915914662,Mr,4,914428186996
418269724437,40 James Street,Herefordshire,Leominster,,United Kingdom,6/8/1962,Adella,Lila,328491779954,HR6 9PW,181965715652984,Mrs,1,236528578342
733697514363,40 James Street,Warwickshire,Henley-in-Arden,,United Kingdom,2/23/1966,Luciano,Santos,495712942265,B95 5RL,478424213164254,Miss,4,188864622588
392483539111,122 Oakley Road,Northamptonshire,Corby,,United Kingdom,1/20/1971,Yoshie,Leatrice,459887391243,NN17 1ND,458177852111829,Sir,3,342246588766
719663242219,40 James Street,Stirling,Stirling,,United Kingdom,6/14/1982,Maritza,Valentine,667995488724,FK8 3TU,867579536877495,Lord,1,662673432394
395134941597,5 Trebeck Street,Greater London,London,,United Kingdom,8/14/1987,Crysta,Marco,468991227277,W1J 7LT,396319757611537,Mrs,6,116875458753
194293777649,40 James Street,Wiltshire,Salisbury,,United Kingdom,8/31/1987,Maryjo,Augusta,238632386399,SP2,459646358966131,Mr,5,789828715965
293232961716,21 Howgate Road,Greater London,London,,United Kingdom,6/15/1988,Porsche,Andree,592852195793,SW14,899141231963515,Mr,2,879398762844
725263563698,13 Edgware Road,Greater London,London,,United Kingdom,11/18/1988,Shonta,Jules,934829678911,W2,619928873342921,Mrs,6,141679186827
685297423418,1 Church Lane,Scottish Borders,Coldstream,,United Kingdom,12/12/1989,Hailey,Lorene,759829253644,TD12 4DG,194757862326231,Miss,1,496453781921
156465724178,43 Holywell Drive,Leicestershire,Loughborough,,United Kingdom,3/20/1990,Paula,Stephenie,731676551418,LE11 3JU,355454584328761,Sir,4,978684899339
929785642254,164 Croxley View,Hertfordshire,Watford,,United Kingdom,3/18/1992,Bettye,Verlene,554917477237,WD18,828113577415851,Lord,4,125844368157
413516964353,6 East Harding Street,Greater London,London,,United Kingdom,2/15/1993,Polly,Johnson,886933689236,EC4A 3AS,326739768371322,Mrs,3,681617279987
582587847444,13 Trelawny Close,Monmouthshire,Usk,,United Kingdom,5/16/1997,Jung,Cleo,292435984723,NP15 1SP,781834621757857,Mr,4,215963956472
155526988414,10 Keppel Road,Greater Manchester,Manchester,,United Kingdom,4/28/1999,Genevive,Azzie,431836223445,M21 0AT,922161872782939,Mr,2,126751272547
344316252995,9 Sarn Y Bryn Caled,Powys,Welshpool,,United Kingdom,4/15/2002,Dianne,Julieann,324422911684,SY21 8SA,471168325581473,Mrs,2,248628349284
787131135841,19 Pitt Street,South Yorkshire,Sheffield,,United Kingdom,5/19/2004,Christiana,Meaghan,613586223552,S1 4DQ,844857941553485,Miss,2,556827158777
423757856855,40 James Street,West Midlands,Solihull,,United Kingdom,5/30/2006,Isidro,Melia,556469656478,B92 7WA,373515591657392,Sir,5,694552783928
972627216589,40 James Street,Aberdeenshire,Peterhead,,United Kingdom,11/28/2006,Wilson,Missy,345883738341,AB42 5AH,314128578622842,Lord,4,844415877448
289118917769,40 James Street,Essex,Colchester,,United Kingdom,1/17/2007,Malcolm,Delbert,456874487829,CO7,691471573633425,Mrs,3,172964695849
173979641262,219 Woodfield Road,Nottinghamshire,Nottingham,,United Kingdom,6/22/2009,Quinton,Marceline,789558477924,NG8 6HW,452951163919937,Mr,5,777998865424
646977175324,40 James Street,Surrey,Guildford,,United Kingdom,9/3/2010,Maryam,Yevette,826685198154,GU4 8PY,427732828765233,Mr,6,465771549845
998622741478,99 Innsworth Garth,Kingston upon Hull,Hull,,United Kingdom,12/10/2010,An,Rachelle,788889455999,HU7 4LT,226537124221816,Mrs,6,855151356361
